"","exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","valid"
"1149",5284,-0.103512791113204,0.06815,0.17474358974359,"preeclampsia_vs_PretermControls","cmap","flucytosine",3.1e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","934","Flucytosine [2022-85-7]","C0016278","2022-85-7","DB01099",1
"1150",5286,0.138432962365714,0.003,0.0161375661375661,"preeclampsia_vs_PretermControls","cmap","chlorprothixene",1.14e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","348","Chlorprothixene hydrochloride [6469-93-8]","C0304384","6469-93-8","DB01239",1
"1151",5305,0,1,1,"preeclampsia_vs_PretermControls","cmap","puromycin",7.4e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","480","Puromycin dihydrochloride [58-58-2]","NULL","58-58-2","DB08437",1
"1152",5318,0,1,1,"preeclampsia_vs_PretermControls","cmap","digoxin",5.2e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","437","Digoxin [20830-75-5]","BIOD00046","20830-75-5","DB00390",1
"1153",5334,0.171947349822034,7e-05,0.000807183364839319,"preeclampsia_vs_PretermControls","cmap","cyproheptadine",1.24e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","103","Cyproheptadine hydrochloride [969-33-5]","C0771807","969-33-5","DB00434",1
"1154",5349,0,1,1,"preeclampsia_vs_PretermControls","cmap","mitoxantrone",7.8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","385","Mitoxantrone dihydrochloride [70476-82-3]","C0700458","70476-82-3","DB01204",1
"1155",5354,0,1,1,"preeclampsia_vs_PretermControls","cmap","adenosine phosphate",1.1e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","356","Adenosine 5'-monophosphate monohydrate [18422-05-4]","C0981812","18422-05-4","DB00131",1
"1156",5358,0.105832290908031,0.0571,0.151835222319093,"preeclampsia_vs_PretermControls","cmap","anisomycin",1.5e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","412","Anisomycin [22862-76-6]","NULL","22862-76-6","DB07374",1
"1157",5374,0.134500394283502,0.00456,0.0219369085173502,"preeclampsia_vs_PretermControls","cmap","pimozide",8.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","308","Pimozide [2062-78-4]","C0031935","2062-78-4","DB01100",1
"1158",5376,0,1,1,"preeclampsia_vs_PretermControls","cmap","cycloserine",3.92e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1086","D-cycloserine [68-41-7]","C0010590","68-41-7","DB00260",1
"1159",5377,-0.150405659930562,0.00085,0.00604312354312354,"preeclampsia_vs_PretermControls","cmap","canrenoic acid",1e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","148","Canrenoic acid potassium salt [2181-04-6]","C0282085","2181-04-6","DB09015",1
"1160",5385,0.100327970680277,0.08474,0.206352894211577,"preeclampsia_vs_PretermControls","cmap","berberine",1.08e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","586","Berberine chloride [633-65-8]","EXPT00672","633-65-8","DB04115",1
"1161",5387,0,1,1,"preeclampsia_vs_PretermControls","cmap","nocodazole",1.32e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","100","Nocodazole [31430-18-9]","NULL","31430-18-9","DB08313",1
"1162",5388,-0.114550410826518,0.0289,0.08948730964467,"preeclampsia_vs_PretermControls","cmap","naproxen",1.58e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","791","(R) -Naproxen sodium salt [26159-34-2]","C0546873","26159-34-2","DB00788",1
"1163",5394,0,1,1,"preeclampsia_vs_PretermControls","cmap","chlortalidone",1.18e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","351","Chlorthalidone [77-36-1]","NULL","77-36-1","DB00310",1
"1164",5401,0.162387216868511,0.00022,0.00206779661016949,"preeclampsia_vs_PretermControls","cmap","astemizole",8.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","136","Astemizole [68844-77-9]","C0085170","68844-77-9","DB00637",1
"1165",5405,0,1,1,"preeclampsia_vs_PretermControls","cmap","sertaconazole",8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1045","Sertaconazole nitrate [99592-39-9]","C0074391","99592-39-9","DB01153",1
"1166",5410,0.0869107813105978,0.19183,0.397338879456706,"preeclampsia_vs_PretermControls","cmap","dacarbazine",2.2e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","574","Dacarbazine [4342-03-4]","C0010927","4342-03-4","DB00851",1
"1167",5411,0,1,1,"preeclampsia_vs_PretermControls","cmap","verteporfin",2.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1105","Verteporfin [129497-78-5]","C0387288","129497-78-5","DB00460",1
"1168",5412,0,1,1,"preeclampsia_vs_PretermControls","cmap","aminophenazone",1.72e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","88","Amidopyrine [58-15-1]","NULL","58-15-1","DB01424",1
"1169",5413,0.110437177771353,0.03993,0.115328125,"preeclampsia_vs_PretermControls","cmap","cefalotin",9.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","719","Cephalothin sodium salt [58-71-9]","NULL","58-71-9","DB00456",1
